,position,team,year,Points,Tries,Metres,Runs,Defenders Beaten,Clean Breaks,Passes,Try Assists,Kicks,Conversion Goals,Penalty Goals,Tackles,Tackles Missed,Turnovers Won,Turnovers Conceded,Penalties Conceded,Yellow Cards,Red Cards
Anthony Jelonch,Flanker 7,france,2021, 0 , 0 , 130 , 72 , 3 , 1 , 33 , 7 , 0 , 0 , 0 , 120 , 17 , 6 , 11 , 6 , 0 , 0 
Bernard Le Roux,Flanker 6,france,2021, 0 , 0 , 6 , 10 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 38 , 3 , 0 , 2 , 4 , 0 , 0 
Cameron Woki,Flanker 7,france,2021, 5 , 1 , 55 , 28 , 2 , 2 , 10 , 5 , 0 , 0 , 0 , 58 , 6 , 7 , 2 , 5 , 0 , 0 
Charles Ollivon,Number 8,france,2021, 10 , 2 , 44 , 21 , 1 , 2 , 10 , 1 , 0 , 0 , 0 , 76 , 10 , 6 , 2 , 4 , 0 , 0 
Cyril Baille,Prop,france,2021, 0 , 0 , 53 , 45 , 1 , 0 , 24 , 7 , 0 , 0 , 0 , 61 , 2 , 2 , 5 , 4 , 0 , 0 
Daniel Bibi Bizuwu,Prop,france,2021,,,,,,,,,,,,,,,,,,
Dany Priso,Prop,france,2021,,,,,,,,,,,,,,,,,,
Demba Bamba,Tighthead Prop,france,2021, 0 , 0 , 21 , 21 , 3 , 0 , 1 , 1 , 0 , 0 , 0 , 24 , 5 , 1 , 2 , 3 , 0 , 0 
Dylan Cretin,Number 8,france,2021, 5 , 1 , 32 , 16 , 1 , 0 , 1 , 1 , 0 , 0 , 0 , 64 , 6 , 2 , 3 , 4 , 0 , 0 
Florent Vanverberghe,Number 8,france,2021,,,,,,,,,,,,,,,,,,
Florian Verhaeghe,Lock,france,2021,,,,,,,,,,,,,,,,,,
Francois Cros,Blindside Flanker,france,2021, 0 , 0 , 18 , 8 , 1 , 0 , 4 , 1 , 0 , 0 , 0 , 18 , 4 , 1 , 1 , 4 , 0 , 0 
Gaeton Barlot, Hooker,france,2021, 0 , 0 , 38 , 18 , 2 , 1 , 14 , 5 , 0 , 0 , 0 , 37 , 4 , 3 , 7 , 1 , 0 , 0 
Gregory Alldritt,Flanker 7,france,2021, 0 , 0 , 177 , 69 , 6 , 3 , 32 , 6 , 0 , 0 , 0 , 91 , 2 , 2 , 8 , 3 , 0 , 0 
Ibrahim Diallo,Flanker 7,france,2021, 0 , 0 , 1 , 5 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 24 , 4 , 0 , 0 , 0 , 0 , 0 
Jean-Baptiste Gros,Loosehead Prop,france,2021, 0 , 0 , 11 , 12 , 0 , 0 , 6 , 0 , 0 , 0 , 0 , 48 , 2 , 3 , 2 , 6 , 0 , 0 
Julien Marchand,Hooker,france,2021, 0 , 0 , 72 , 33 , 2 , 2 , 11 , 3 , 0 , 0 , 0 , 53 , 5 , 4 , 6 , 2 , 0 , 0 
Mohammed Haouas,Prop,france,2021, 0 , 0 , 36 , 20 , 0 , 0 , 6 , 3 , 0 , 0 , 0 , 56 , 6 , 0 , 1 , 4 , 1 , 0 
Paul Boudehent,Openside Flanker,france,2021,,,,,,,,,,,,,,,,,,
Paul Willemse,Lock,france,2021, 0 , 0 , 41 , 31 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 79 , 4 , 2 , 6 , 7 , 0 , 1 
Peato Mauvaka,Hooker,france,2021, 25 , 5 , 23 , 8 , 1 , 1 , 5 , 0 , 0 , 0 , 0 , 14 , 3 , 0 , 4 , 3 , 0 , 0 
Pierre Bourgarit,Hooker,france,2021, 0 , 0 , 13 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 7 , 2 , 0 , 1 , 0 , 0 , 0 
Romain Taofifenua,Lock,france,2021, 5 , 1 , 29 , 25 , 0 , 0 , 7 , 1 , 0 , 0 , 0 , 70 , 2 , 0 , 8 , 5 , 0 , 0 
Sebastien Taofifenua,Prop,france,2021,,,,,,,,,,,,,,,,,,
Sekou Macalou,Flanker 7,france,2021, 0 , 0 , 5 , 8 , 0 , 0 , 5 , 1 , 0 , 0 , 0 , 20 , 1 , 2 , 4 , 4 , 0 , 0 
Selevasio Tolofua,Flanker 6,france,2021,,,,,,,,,,,,,,,,,,
Sipili Falatea,Prop,france,2021, 0 , 0 , 11 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 11 , 1 , 0 , 3 , 3 , 0 , 0 
Thibaud Flament,Lock 5,france,2021, 5 , 1 , 37 , 11 , 3 , 1 , 1 , 0 , 0 , 0 , 0 , 14 , 1 , 0 , 1 , 0 , 0 , 0 
Thomas Jolmes,Lock,france,2021,,,,,,,,,,,,,,,,,,
Thomas Lavault,Lock,france,2021,,,,,,,,,,,,,,,,,,
Uini Atonio,Prop,france,2021, 0 , 0 , 22 , 12 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 16 , 3 , 0 , 1 , 2 , 0 , 0 
Yoan Tanga Mangene,Openside Flanker,france,2021,,,,,,,,,,,,,,,,,,
Antoine Dupont,Scrum Half,france,2021, 15 , 3 , 145 , 40 , 14 , 3 , 394 , 16 , 53 , 0 , 0 , 53 , 14 , 1 , 5 , 1 , 0 , 0 
Antoine Hastoy,Fly Half,france,2021, 0 , 0 , 2 , 3 , 0 , 0 , 6 , 1 , 3 , 0 , 0 , 10 , 1 , 0 , 2 , 2 , 0 , 0 
Baptiste Couilloud,Scrum half,france,2021, 5 , 1 , 59 , 16 , 2 , 0 , 95 , 2 , 24 , 0 , 0 , 20 , 1 , 1 , 4 , 2 , 0 , 0 
Brice Dulin,Fullback,france,2021, 15 , 3 , 134 , 34 , 4 , 4 , 57 , 9 , 33 , 0 , 0 , 21 , 4 , 2 , 9 , 4 , 0 , 0 
Damian Penaud,Centre,france,2021, 35 , 7 , 113 , 36 , 7 , 5 , 36 , 13 , 9 , 0 , 0 , 38 , 14 , 4 , 7 , 1 , 0 , 0 
GabinVillière,Wing,france,2021, 10 , 2 , 111 , 32 , 7 , 3 , 18 , 8 , 2 , 0 , 0 , 32 , 5 , 3 , 4 , 1 , 0 , 0 
Gael Fickou,Centre,france,2021, 5 , 1 , 123 , 45 , 6 , 0 , 50 , 4 , 8 , 0 , 0 , 64 , 7 , 6 , 6 , 3 , 0 , 0 
Jonathan Danty,Centre,france,2021, 0 , 0 , 34 , 15 , 0 , 0 , 7 , 3 , 5 , 0 , 0 , 38 , 3 , 5 , 3 , 1 , 0 , 0 
Jules Favre,Centre 12,france,2021,,,,,,,,,,,,,,,,,,
Leo Berdeu,Fly Half,france,2021,,,,,,,,,,,,,,,,,,
Matthieu Jalibert,Fly half,france,2021, 41 , 1 , 63 , 28 , 9 , 4 , 90 , 9 , 34 , 12 , 4 , 37 , 3 , 1 , 5 , 1 , 0 , 0 
Matthis Lebel,Fullback,france,2021, 0 , 0 , 22 , 8 , 2 , 0 , 1 , 0 , 1 , 0 , 0 , 8 , 0 , 0 , 0 , 0 , 0 , 0 
Max Spring,Fullback,france,2021,,,,,,,,,,,,,,,,,,
Maxime Lucu,Fly half,france,2021, 0 , 0 , 0 , 0 , 0 , 0 , 33 , 0 , 1 , 0 , 0 , 3 , 1 , 0 , 0 , 0 , 0 , 0 
Melvyn Jaminet,Fullback,france,2021, 83 , 0 , 146 , 36 , 5 , 4 , 20 , 3 , 33 , 10 , 21 , 7 , 3 , 1 , 7 , 0 , 0 , 0 
Romain Ntamack,Fly half,france,2021, 25 , 1 , 109 , 24 , 7 , 3 , 51 , 4 , 19 , 4 , 4 , 24 , 5 , 0 , 3 , 2 , 0 , 0 
Tani Vili,Centre,france,2021,,,,,,,,,,,,,,,,,,
Teddy Thomas,Wing,france,2021, 10 , 2 , 123 , 24 , 9 , 3 , 13 , 5 , 5 , 0 , 0 , 23 , 5 , 2 , 8 , 1 , 0 , 0 
Thomas Ramos,Fullback,france,2021,,,,,,,,,,,,,,,,,,
Virimi Vakatawa,Wing,france,2021, 0 , 0 , 64 , 23 , 3 , 0 , 16 , 5 , 0 , 0 , 0 , 27 , 5 , 0 , 4 , 1 , 0 , 0 
Yoram Moefana,Centre,france,2021,,,,,,,,,,,,,,,,,,
Aidan Ross,Prop,new-zealand,2021,,,,,,,,,,,,,,,,,,
Akira Ioane,Blindside Flanker,new-zealand,2021, 0 , 0 , 195 , 64 , 9 , 6 , 22 , 7 , 1 , 0 , 0 , 63 , 8 , 8 , 5 , 4 , 0 , 0 
Angus Taavao-Matau,Prop,new-zealand,2021, 10 , 2 , 52 , 11 , 1 , 1 , 7 , 3 , 0 , 0 , 0 , 19 , 5 , 1 , 1 , 6 , 0 , 0 
Ardie Savea,Flanker 7,new-zealand,2021, 20 , 4 , 180 , 60 , 8 , 2 , 43 , 13 , 1 , 0 , 0 , 83 , 7 , 6 , 6 , 5 , 2 , 0 
Brodie Retallick,Lock,new-zealand,2021, 5 , 1 , 111 , 59 , 1 , 0 , 19 , 6 , 0 , 0 , 0 , 107 , 7 , 12 , 9 , 8 , 0 , 0 
Codie Taylor,Hooker,new-zealand,2021, 15 , 3 , 86 , 25 , 5 , 2 , 16 , 4 , 0 , 0 , 0 , 78 , 8 , 3 , 12 , 4 , 1 , 0 
Dalton Papali'i,Flanker 7,new-zealand,2021, 25 , 5 , 85 , 20 , 2 , 4 , 19 , 7 , 0 , 0 , 0 , 90 , 5 , 7 , 3 , 4 , 0 , 0 
Dane Coles,Hooker,new-zealand,2021, 35 , 7 , 77 , 26 , 10 , 1 , 24 , 7 , 2 , 0 , 0 , 25 , 2 , 4 , 5 , 0 , 0 , 0 
Ethan De Groot,Loosehead Prop,new-zealand,2021, 5 , 1 , 15 , 10 , 0 , 0 , 2 , 1 , 0 , 0 , 0 , 19 , 0 , 1 , 0 , 0 , 0 , 0 
George Bower,Tighthead Prop,new-zealand,2021, 0 , 0 , 17 , 16 , 0 , 0 , 4 , 1 , 0 , 0 , 0 , 45 , 13 , 4 , 2 , 7 , 0 , 0 
Hoskins Sotutu,Number 8,new-zealand,2021, 5 , 1 , 98 , 35 , 7 , 4 , 31 , 9 , 1 , 0 , 0 , 26 , 4 , 2 , 6 , 3 , 0 , 0 
Karl Tuinukuafe,Prop,new-zealand,2021, 0 , 0 , 29 , 14 , 0 , 0 , 6 , 0 , 0 , 0 , 0 , 13 , 3 , 0 , 3 , 3 , 0 , 0 
Nepo Laulala,Tighthead Prop,new-zealand,2021, 0 , 0 , 66 , 42 , 1 , 0 , 4 , 1 , 0 , 0 , 0 , 58 , 16 , 2 , 7 , 12 , 1 , 0 
Ofa Tuungafasi,Tighthead Prop,new-zealand,2021, 0 , 0 , 17 , 13 , 0 , 0 , 9 , 1 , 0 , 0 , 0 , 14 , 4 , 0 , 3 , 1 , 0 , 0 
Patrick Tuipulotu,Lock,new-zealand,2021, 10 , 2 , 64 , 20 , 0 , 1 , 6 , 1 , 0 , 0 , 0 , 22 , 2 , 2 , 2 , 0 , 0 , 0 
Pita Sowakula,Flanker 6,new-zealand,2021,,,,,,,,,,,,,,,,,,
Sam Cane,Openside Flanker,new-zealand,2021, 0 , 0 , 16 , 7 , 1 , 1 , 12 , 1 , 0 , 0 , 0 , 26 , 2 , 2 , 1 , 0 , 0 , 0 
Samisoni Taukei'aho,Hooker,new-zealand,2021, 15 , 3 , 109 , 36 , 3 , 0 , 10 , 2 , 0 , 0 , 0 , 34 , 1 , 1 , 7 , 4 , 0 , 0 
Samuel Whitelock,Lock,new-zealand,2021, 0 , 0 , 81 , 48 , 1 , 1 , 19 , 4 , 0 , 0 , 0 , 81 , 2 , 8 , 7 , 5 , 0 , 0 
Scott Barrett,Lock,new-zealand,2021, 0 , 0 , 81 , 37 , 5 , 1 , 25 , 5 , 0 , 0 , 0 , 36 , 5 , 8 , 4 , 4 , 0 , 0 
Shannon Frizell,Flanker 7,new-zealand,2021, 5 , 1 , 22 , 10 , 0 , 0 , 7 , 2 , 0 , 0 , 0 , 21 , 3 , 2 , 0 , 1 , 0 , 0 
Tupou Vaai,Lock 4,new-zealand,2021, 10 , 2 , 72 , 30 , 2 , 3 , 27 , 6 , 0 , 0 , 0 , 25 , 2 , 3 , 2 , 2 , 0 , 0 
Tyrel Lomax,Prop,maori-all-blacks,2021,,,,,,,,,,,,,,,,,,
Aaron Smith,Scrum Half,new-zealand,2021, 0 , 0 , 30 , 9 , 2 , 2 , 159 , 5 , 14 , 0 , 0 , 18 , 5 , 0 , 2 , 2 , 0 , 0 
Anton Lienert-Brown,Centre,new-zealand,2021, 15 , 3 , 72 , 31 , 2 , 3 , 24 , 3 , 0 , 0 , 0 , 38 , 1 , 2 , 6 , 2 , 0 , 0 
Beauden Barrett,Fly Half,new-zealand,2021, 54 , 3 , 158 , 41 , 8 , 2 , 149 , 12 , 74 , 15 , 3 , 36 , 7 , 3 , 9 , 5 , 0 , 0 
Braydon Ennor,Wing,new-zealand,2021, 0 , 0 , 51 , 18 , 3 , 1 , 9 , 4 , 0 , 0 , 0 , 9 , 2 , 2 , 5 , 2 , 0 , 0 
Caleb Clarke,Left Wing,new-zealand,2021,,,,,,,,,,,,,,,,,,
David Kaetau Havili,Wing,new-zealand,2021, 25 , 5 , 269 , 84 , 10 , 6 , 53 , 13 , 19 , 0 , 0 , 74 , 16 , 3 , 16 , 7 , 1 , 0 
Finlay Christie,Scrum Half,new-zealand,2021, 5 , 1 , 66 , 7 , 4 , 4 , 120 , 3 , 3 , 0 , 0 , 17 , 3 , 2 , 3 , 1 , 0 , 0 
Fletcher Newell,,new-zealand,2021,,,,,,,,,,,,,,,,,,
Folau Fakatava,Scrum half,new-zealand,2021,,,,,,,,,,,,,,,,,,
Jordie Barrett,Fullback,new-zealand,2021, 102 , 3 , 171 , 67 , 6 , 2 , 62 , 6 , 42 , 18 , 17 , 22 , 3 , 1 , 11 , 2 , 0 , 1 
Leicester Fainga'anuku,Wing,new-zealand,2021,,,,,,,,,,,,,,,,,,
Quinn Tupaea,Centre 13,new-zealand,2021, 5 , 1 , 279 , 76 , 15 , 2 , 33 , 11 , 2 , 0 , 0 , 34 , 8 , 4 , 8 , 5 , 0 , 0 
Richie Mo'unga,Fly half,new-zealand,2021, 77 , 2 , 163 , 38 , 14 , 3 , 136 , 7 , 26 , 32 , 1 , 41 , 7 , 2 , 4 , 2 , 0 , 0 
Rieko Ioane,Wing,new-zealand,2021, 25 , 5 , 431 , 80 , 28 , 10 , 79 , 21 , 1 , 0 , 0 , 48 , 4 , 4 , 18 , 7 , 0 , 0 
Roger Tuivasa-Sheck,Centre 12,new-zealand,2021,,,,,,,,,,,,,,,,,,
Sevu Reece,Right Wing,new-zealand,2021, 40 , 8 , 186 , 47 , 7 , 5 , 32 , 10 , 9 , 0 , 0 , 39 , 8 , 4 , 11 , 1 , 0 , 0 
Stephen Perofeta,Fly half,new-zealand,2021,,,,,,,,,,,,,,,,,,
Will Jordan,Fullback,new-zealand,2021, 75 , 15 , 454 , 80 , 20 , 15 , 56 , 13 , 17 , 0 , 0 , 46 , 5 , 4 , 19 , 0 , 0 , 0 
AndreaZambonin,Lock 4,italy,2021,,,,,,,,,,,,,,,,,,
Braam Steyn,Flanker 7,italy,2021, 0 , 0 , 16 , 8 , 0 , 0 , 6 , 2 , 0 , 0 , 0 , 14 , 3 , 0 , 2 , 1 , 0 , 0 
Cherif Traore,Prop,italy,2021, 0 , 0 , 9 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 11 , 3 , 0 , 1 , 4 , 0 , 0 
Danilo Fischetti,Prop,italy,2021, 0 , 0 , 34 , 31 , 3 , 0 , 16 , 3 , 0 , 0 , 0 , 48 , 7 , 2 , 8 , 12 , 1 , 0 
David Sisi,Blindside Flanker,italy,2021, 0 , 0 , 20 , 24 , 0 , 0 , 9 , 0 , 0 , 0 , 0 , 53 , 6 , 1 , 3 , 2 , 0 , 0 
Federico Ruzza,Lock,italy,2021, 0 , 0 , 44 , 23 , 1 , 0 , 14 , 4 , 0 , 0 , 0 , 41 , 2 , 2 , 4 , 3 , 0 , 0 
Giacomo Nicotera,Hooker,italy,2021,,,,,,,,,,,,,,,,,,
Gianmarco Lucchesi,,italy,2021, 0 , 0 , 2 , 8 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 18 , 3 , 1 , 4 , 0 , 0 , 0 
Giosue Zilocchi,Tighthead Prop,italy,2021, 0 , 0 , 11 , 9 , 1 , 0 , 4 , 0 , 0 , 0 , 0 , 33 , 11 , 1 , 2 , 7 , 1 , 0 
Giovanni Pettinelli,Openside Flanker,italy,2021, 0 , 0 , 6 , 3 , 1 , 0 , 2 , 0 , 0 , 0 , 0 , 4 , 0 , 0 , 1 , 0 , 0 , 0 
Hame Faiva,Hooker,italy,2021, 5 , 1 , 8 , 4 , 0 , 0 , 5 , 1 , 0 , 0 , 0 , 13 , 0 , 1 , 0 , 0 , 0 , 0 
Ivan Nemer,Loosehead Prop,italy,2021, 0 , 0 , 24 , 10 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 13 , 4 , 2 , 0 , 2 , 0 , 0 
Luca Bigi,Hooker,italy,2021, 5 , 1 , 37 , 28 , 3 , 0 , 13 , 2 , 0 , 0 , 0 , 89 , 5 , 2 , 7 , 10 , 2 , 0 
Manuel Zuliani,Number 8,italy,2021,,,,,,,,,,,,,,,,,,
Marco Fuser,Lock,italy,2021, 0 , 0 , 12 , 8 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 14 , 2 , 2 , 1 , 2 , 0 , 0 
Michele Lamaro,Openside Flanker,italy,2021, 0 , 0 , 76 , 52 , 1 , 1 , 35 , 2 , 1 , 0 , 0 , 107 , 20 , 4 , 9 , 8 , 0 , 0 
Niccolo Cannone,Lock 4,italy,2021, 0 , 0 , 29 , 30 , 0 , 0 , 10 , 1 , 0 , 0 , 0 , 62 , 10 , 1 , 7 , 5 , 0 , 0 
Pietro Ceccarelli,Prop,italy,2021, 0 , 0 , 4 , 5 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 12 , 0 , 0 , 0 , 1 , 0 , 0 
Sebastian Negri da Ollegio,Openside Flanker,italy,2021, 0 , 0 , 119 , 73 , 1 , 0 , 6 , 0 , 0 , 0 , 0 , 90 , 5 , 0 , 8 , 4 , 1 , 0 
Tiziano Pasquali,Tight head prop,italy,2021,,,,,,,,,,,,,,,,,,
Toa Halafihi,Number 8,italy,2021,,,,,,,,,,,,,,,,,,
Alessandro Fusco,Fullback,italy,2021, 0 , 0 , 9 , 6 , 1 , 0 , 31 , 1 , 1 , 0 , 0 , 2 , 1 , 0 , 0 , 1 , 0 , 0 
Ange Capuozzo,Fullback,italy,2021,,,,,,,,,,,,,,,,,,
Callum Braley,Scrum half,italy,2021, 0 , 0 , 26 , 8 , 1 , 0 , 116 , 2 , 11 , 0 , 0 , 4 , 4 , 0 , 4 , 2 , 0 , 0 
Edoardo Padovani,Fullback,italy,2021, 0 , 0 , 54 , 28 , 2 , 0 , 18 , 1 , 6 , 0 , 0 , 10 , 5 , 1 , 4 , 0 , 0 , 0 
Federico Mori,Left wing,italy,2021, 0 , 0 , 63 , 26 , 3 , 1 , 15 , 5 , 2 , 0 , 0 , 23 , 2 , 0 , 4 , 3 , 1 , 0 
Giacomo Da Re,Fullback,italy,2021,,,,,,,,,,,,,,,,,,
Juan Ignacio Brex,Centre 12,italy,2021, 0 , 0 , 112 , 40 , 2 , 1 , 30 , 3 , 4 , 0 , 0 , 68 , 23 , 1 , 4 , 4 , 0 , 0 
Leonardo Marin ,Fly Half,italy,2021,,,,,,,,,,,,,,,,,,
Luca Morisi,Centre,italy,2021, 0 , 0 , 27 , 13 , 4 , 0 , 9 , 1 , 2 , 0 , 0 , 18 , 0 , 0 , 2 , 3 , 0 , 0 
Marco Zanon,Centre 12,italy,2021, 0 , 0 , 28 , 11 , 1 , 0 , 7 , 0 , 1 , 0 , 0 , 9 , 1 , 1 , 2 , 0 , 0 , 0 
Mark Sorenson,Wing,italy,2021, 5 , 1 , 66 , 10 , 2 , 2 , 5 , 3 , 1 , 0 , 0 , 3 , 1 , 1 , 1 , 0 , 0 , 0 
Monty Ioane,Right Wing,italy,2021, 10 , 2 , 206 , 66 , 12 , 2 , 42 , 7 , 7 , 0 , 0 , 24 , 7 , 1 , 7 , 1 , 1 , 0 
Paolo Garbisi,Fly half,italy,2021, 50 , 0 , 86 , 41 , 3 , 1 , 139 , 7 , 58 , 7 , 12 , 61 , 13 , 2 , 12 , 2 , 0 , 0 
Pierre Bruno,Wing,italy,2021, 5 , 1 , 66 , 10 , 2 , 2 , 5 , 3 , 1 , 0 , 0 , 3 , 1 , 1 , 1 , 0 , 0 , 0 
Stephen Varney,Scrum half,italy,2021, 5 , 1 , 34 , 17 , 3 , 2 , 349 , 4 , 22 , 0 , 0 , 30 , 14 , 1 , 10 , 1 , 0 , 0 
Tommaso Menoncello,Left Wing,italy,2021,,,,,,,,,,,,,,,,,,
Diego Arbelo,Prop,uruguay,2021, 0 , 0 , 6 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 2 , 0 , 2 , 5 , 0 , 0 
Eric dos Santos Madeira,Blindside Flanker,uruguay,2021,,,,,,,,,,,,,,,,,,
Franco Lamanna,Lock,uruguay,2021, 0 , 0 , 6 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 0 
German Kessler,Hooker,uruguay,2021, 0 , 0 , 15 , 12 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6 , 0 , 1 , 3 , 0 , 0 , 0 
Kisi Pulu,Prop,uruguay,2021,,,,,,,,,,,,,,,,,,
Luke Crocker,Lock,uruguay,2021,,,,,,,,,,,,,,,,,,
Manuel Ardao,Flanker 6,uruguay,2021, 0 , 0 , 14 , 9 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 9 , 0 , 4 , 0 , 2 , 0 , 0 
Manuel Diana,Number 8,uruguay,2021, 0 , 0 , 50 , 20 , 0 , 0 , 10 , 4 , 0 , 0 , 0 , 12 , 1 , 0 , 1 , 1 , 0 , 0 
Manuel Leindekar,Lock,uruguay,2021, 0 , 0 , 12 , 6 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 
Mateo Sanguinetti,Prop,uruguay,2021, 5 , 1 , 15 , 8 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 5 , 5 , 0 , 0 , 3 , 0 , 0 
Santiago Civetta,Flanker 7,uruguay,2021, 0 , 0 , 14 , 7 , 1 , 0 , 3 , 1 , 0 , 0 , 0 , 8 , 1 , 1 , 0 , 0 , 0 , 0 
Agustin Ormaechea,Fullback,uruguay,2021,,,,,,,,,,,,,,,,,,
Diego Magno,,uruguay,2021, 0 , 0 , 5 , 2 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 0 
Facundo Gattas,,uruguay,2021, 0 , 0 , 6 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 2 , 0 , 0 , 0 
Federico Favaro,Wing,uruguay,2021, 3 , 0 , -1 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 3 , 0 , 0 , 1 , 0 , 0 , 0 
